분류,상품명,설명,비율,제목
여행자보험(해외) 상품,캐롯 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,캐롯 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,Chubb 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,Chubb 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,Chubb 해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,Chubb 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,현대해상다이렉트 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,현대해상다이렉트 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,현대해상다이렉트 해외여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,현대해상다이렉트 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,KB해외여행보험_다이렉트플랜,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,KB해외여행보험_다이렉트플랜,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,KB해외여행보험_다이렉트플랜,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
여행자보험(해외) 상품,KB해외여행보험_다이렉트플랜,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(해외) 상품,AIG여보 해외여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(해외) 상품,AIG여보 해외여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(해외) 상품,AIG여보 해외여행보험,실손의료보험 및 일상생활 배상책임 보험 등 실손보상형 담보의 경우 중복가입시 보험금을 비례분담하여 지급합니다.,,실손형 담보 / 비례 보상 / 중복가입 부적절
여행자보험(국내) 상품,하나 국내여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(국내) 상품,하나 국내여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
여행자보험(국내) 상품,현대해상다이렉트 국내여행보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
